transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,gender,job_title,wealth_segment,deceased_indicator,owns_car,tenure,Age,postcode,job_title_transaction_count,postcode_transaction_count,age_transaction_count,tenure_transaction_count,recency,frequency,total_monetary_value
1,2,2950,2017-02-25,False,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,Male,Software Engineer I,Mass Customer,N,Yes,10.0,0.0,3064.0,5.833333333333333,5.0,5.730803177405119,5.564971751412429,75,3,1953.15
2,3,3120,2017-05-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2014-03-03,Female,Clinical Specialist,Mass Customer,N,Yes,10.0,38.0,2196.0,6.448275862068965,5.5,5.722222222222222,5.564971751412429,20,7,7351.7
3,37,402,2017-10-16,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,Male,Desktop Support Technician,Affluent Customer,N,No,22.0,40.0,2835.0,5.580645161290323,5.5,5.849162011173185,5.3125,56,6,8148.22
4,88,3135,2017-08-31,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1998-12-16,Male,Staff Scientist,Mass Customer,N,No,16.0,0.0,2096.0,5.64,5.75,5.730803177405119,5.675531914893617,121,7,7539.8099999999995
6,25,2339,2017-03-08,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2006-11-10,Male,Web Designer II,Affluent Customer,N,Yes,16.0,0.0,2153.0,7.333333333333333,6.035714285714286,5.730803177405119,5.675531914893617,11,9,10497.39
7,22,1542,2017-04-21,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15,Male,Food Chemist,Mass Customer,N,Yes,12.0,39.0,2155.0,5.666666666666667,5.230769230769231,5.946524064171123,5.955056179775281,133,5,5625.49
8,15,2459,2017-07-15,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,Female,Quality Engineer,High Net Worth,N,No,18.0,31.0,4034.0,6.178571428571429,6.444444444444445,5.479591836734694,5.48,53,11,11877.19
9,67,1305,2017-08-10,False,Approved,Solex,Standard,medium,large,1071.23,380.74,1991-08-05,Male,Executive Secretary,High Net Worth,N,Yes,6.0,0.0,4124.0,5.777777777777778,4.75,5.730803177405119,5.882716049382716,142,5,4862.79
10,12,3262,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17,Male,Product Engineer,Mass Customer,N,No,12.0,0.0,4221.0,5.333333333333333,7.2,5.730803177405119,5.955056179775281,1,10,9899.64
12,61,2783,2017-01-05,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,Male,Sales Representative,Affluent Customer,N,Yes,7.0,39.0,2171.0,5.703703703703703,6.166666666666667,5.946524064171123,5.862068965517241,73,11,9019.44
13,35,1243,2017-02-26,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12,Male,Research Assistant II,Mass Customer,N,No,8.0,0.0,2155.0,6.428571428571429,5.230769230769231,5.730803177405119,5.608695652173913,70,10,11625.08
14,16,2717,2017-09-10,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1994-09-09,Male,Registered Nurse,Mass Customer,N,No,13.0,36.0,2580.0,5.323529411764706,7.75,5.871428571428571,5.624277456647399,41,10,10140.5
15,12,247,2017-06-11,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,Female,Staff Accountant II,High Net Worth,N,Yes,13.0,34.0,2283.0,5.4,5.5,5.548387096774194,5.624277456647399,112,7,9778.37
16,3,2961,2017-10-10,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2003-09-09,Male,Assistant Manager,Mass Customer,N,Yes,12.0,42.0,3031.0,5.538461538461538,4.75,5.783505154639175,5.955056179775281,2,6,8983.52
18,33,1842,2017-06-02,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,Male,Accountant IV,Mass Customer,N,No,8.0,40.0,2250.0,6.1,4.8,5.849162011173185,5.608695652173913,211,5,6542.54
19,54,2268,2017-04-06,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,Female,Pharmacist,Mass Customer,N,No,19.0,0.0,3218.0,5.84,6.5,5.730803177405119,5.978571428571429,35,8,9258.43
20,25,3002,2017-01-28,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2002-03-22,Male,Paralegal,Mass Customer,N,Yes,16.0,0.0,2470.0,5.518518518518518,7.666666666666667,5.730803177405119,5.675531914893617,44,7,7201.75
21,27,1582,2017-10-09,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23,Male,Office Assistant III,Mass Customer,N,No,4.0,39.0,2101.0,6.285714285714286,5.666666666666667,5.946524064171123,5.529761904761905,55,5,5202.889999999999
22,37,595,2017-06-29,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,Male,VP Marketing,Mass Customer,N,No,22.0,44.0,4305.0,6.925925925925926,5.3,5.544642857142857,5.3125,184,3,3268.42
